wavelength flux
11909.950692411405 297.0485239159714
11911.246576182939 307.83136644294325
11912.550072134258 312.49830871519
11913.85683894478 319.8766042144821
11915.155733317783 303.45069685531377
11916.458586537012 298.83259809887613
11917.76632326326 303.2268395197166
11919.067174932125 298.1296963256454
11920.370718119824 295.25688510704026
11921.672296071201 303.4468519565452
11922.972306135818 299.8887887395875
11924.27452453254 296.36300044524626
11925.577119051342 293.04569574631205
11926.879569668794 299.183619708547
11928.179043920543 298.545565964717
11929.480474738548 297.3996875446931
11930.782859579387 301.2128333606181
11932.086403350053 301.7881255359149
11933.385972618269 304.8419576441818
11934.687611848009 313.7786730504023
11935.990042846795 313.39943362496166
11937.290509124403 307.6990019771838
11938.594258680914 306.97443238716136
11939.894106865404 303.50007456607926
11941.195216784254 310.0635379226993
11942.502596552022 317.0724991679972
11943.805834531482 308.56589359970036
11945.10164380305 304.3250665215083
11946.404147650455 303.0535696239093
11947.704385725074 301.2008705967072
11949.005557853112 305.71494807267186
11950.305311759434 308.7054262844438
11951.609636470946 308.5288028245995
11952.909674294617 309.44266026589986
11954.211445685682 306.7877073709411
11955.512447305675 312.34701023536417
11956.81588663606 316.0615461431827
11958.116271008092 320.4983212640814
11959.400575414013 328.6090812382456
11960.702141965723 330.3146390618154
11962.000425356637 330.06987935788254
11963.299501440952 325.0969357157132
11964.623104410695 332.31474775581626
11965.924577128715 337.771547250695
11967.225205734729 332.9223294970441
11968.52497664441 340.8867729197627
11969.82737687536 353.7394236820295
11971.127735227246 353.3147884465341
11972.430259320523 350.3008195397865
11973.730748087552 344.90377444146424
11975.034060938231 346.51191758547816
11976.333213918842 343.98887087640236
11977.636079551465 350.3663303073783
11978.933570504802 348.73199154454517
11980.190060324632 344.4007546409642
11981.516280887598 341.8798451063628
11982.819041746014 340.37844068921993
11984.034394888375 349.2538451975441
11985.335640354842 370.7247732793096
11986.635853193755 357.7144646411851
11987.97516702363 335.48908683777955
11989.27173294349 321.74902272473713
11990.571539913559 319.63732005931917
11991.896680410684 312.5142630718188
11993.199569843902 330.0321781749046
11994.573118359396 344.01594014277674
11995.912505038463 331.2004393192179
11997.201201545175 342.2339145149621
11998.464664544948 342.99140394180836
11999.75412547982 324.98313865907693
12001.053657935568 307.025324491208
12002.35482559799 303.68666771489706
12003.658703247513 331.8633096427032
12004.963488727983 331.4821645759522
12006.267371761904 295.8711406716875
12007.562552353333 285.41472562257167
12008.858228566509 310.1190375640221
12010.152907950185 319.4577204324359
12011.44857295638 328.34717096666907
12012.760011013625 326.3606639235749
12014.06226311643 333.13987043539186
12015.387519632146 356.4930936121498
12016.688317034157 356.2588023028218
12017.962825361174 351.44764717621837
12019.26270182079 350.5599430019847
12020.5647200658 343.97491215651684
12021.86618250689 341.26574074055463
12023.167408358975 335.8191665221612
12024.468021658762 332.44751182688356
12025.76468616966 330.8737673095891
12027.05299521203 334.26815515222296
12028.353960765153 328.02015421110957
12029.653386706132 333.9235316086711
12030.954880558338 344.40434005114963
12032.270857032665 326.97343579954116
12033.572634426237 333.58452454174585
12034.87607253662 343.3155670416436
12036.158822918247 333.5607566838923
12037.451591482737 321.7607103430336
12038.750380414416 333.08072381585396
12040.049798330288 362.90630057606506
12041.353012564314 353.641988777012
12042.655112710117 349.85375622742583
12043.976284191505 365.71061056225386
12045.277533871222 357.95468677926533
12046.576018053627 330.4299463353379
12047.87788518499 312.80405991916007
12049.17831112167 306.2638811249073
12050.476326656242 312.0333167207743
